iter	Passed	Remaining
0	7	3497
1	11	2874
2	15	2535
3	19	2394
4	21	2114
5	23	1894
6	25	1792
7	27	1706
8	29	1630
9	31	1553
10	34	1519
11	36	1494
12	39	1479
13	43	1506
14	47	1541
15	51	1553
16	55	1578
17	60	1617
18	65	1657
19	68	1652
20	71	1631
21	73	1607
22	76	1585
23	78	1563
24	81	1542
25	83	1520
26	85	1498
27	87	1468
28	89	1453
29	91	1436
30	96	1454
31	100	1471
32	105	1491
33	110	1508
34	114	1519
35	117	1515
36	119	1497
37	122	1484
38	124	1471
39	126	1458
40	128	1437
41	130	1425
42	132	1412
43	135	1400
44	136	1384
45	139	1375
46	141	1366
47	145	1366
48	147	1361
49	151	1362
50	156	1374
51	160	1384
52	167	1408
53	169	1400
54	172	1392
55	174	1387
56	178	1384
57	180	1379
58	183	1372
59	186	1364
60	188	1357
61	203	1440
62	206	1435
63	211	1442
64	215	1442
65	217	1428
66	219	1420
67	222	1410
68	223	1397
69	226	1389
70	228	1381
71	230	1371
72	233	1363
73	235	1355
74	237	1347
75	252	1409
76	257	1414
77	261	1416
78	264	1410
79	266	1397
80	268	1386
81	270	1379
82	273	1371
83	275	1364
84	277	1356
85	280	1349
86	282	1338
87	283	1329
88	286	1322
89	299	1366
90	304	1368
91	308	1369
92	313	1370
93	314	1360
94	317	1354
95	320	1349
96	323	1345
97	326	1339
98	328	1330
99	330	1323
100	333	1316
101	335	1310
102	340	1312
103	345	1313
104	349	1315
105	354	1317
106	358	1317
107	362	1314
108	364	1306
109	366	1299
110	368	1292
111	371	1286
112	373	1279
113	375	1272
114	377	1264
115	379	1255
116	381	1249
117	383	1243
118	393	1260
119	398	1261
120	402	1261
121	410	1273
122	413	1266
123	415	1260
124	418	1254
125	420	1247
126	422	1241
127	424	1233
128	426	1227
129	429	1221
130	431	1215
131	433	1209
132	448	1237
133	453	1237
134	458	1240
135	461	1235
136	464	1231
137	467	1227
138	471	1223
139	474	1218
140	476	1212
141	479	1208
142	482	1203
143	487	1204
144	492	1205
145	506	1227
146	509	1222
147	510	1214
148	512	1206
149	514	1201
150	517	1195
151	519	1188
152	521	1182
153	523	1176
154	526	1170
155	528	1164
156	530	1159
157	542	1175
158	547	1174
159	552	1173
160	555	1169
161	558	1164
162	560	1158
163	562	1153
164	565	1147
165	567	1141
166	569	1135
167	571	1129
168	573	1122
169	575	1117
170	577	1110
171	579	1105
172	591	1118
173	597	1119
174	602	1118
175	606	1117
176	608	1110
177	611	1105
178	613	1100
179	616	1096
180	619	1091
181	622	1087
182	624	1082
183	627	1077
184	629	1071
185	637	1076
186	643	1076
187	655	1087
188	657	1082
189	660	1077
190	662	1072
191	665	1066
192	667	1061
193	669	1056
194	672	1051
195	674	1045
196	675	1039
197	678	1035
198	682	1032
199	687	1030
200	691	1028
201	696	1026
202	699	1023
203	703	1021
204	705	1015
205	707	1010
206	709	1004
207	711	999
208	713	993
209	715	988
210	718	983
211	720	978
212	722	973
213	724	968
214	738	978
215	744	979
216	750	978
217	753	974
218	755	969
219	758	965
220	759	959
221	762	954
222	764	949
223	766	944
224	769	939
225	771	935
226	773	930
227	776	926
228	791	936
229	794	932
230	801	933
231	804	929
232	805	923
233	808	919
234	810	914
235	813	909
236	815	904
237	817	900
238	820	895
239	822	891
240	824	886
241	827	882
242	830	878
243	833	874
244	836	870
245	839	866
246	844	864
247	847	861
248	851	858
249	853	853
250	856	849
251	858	844
252	860	840
253	862	835
254	864	831
255	866	826
256	869	821
257	871	817
258	873	813
259	878	811
260	883	809
261	887	806
262	892	804
263	897	802
264	900	798
265	901	793
266	904	789
267	906	785
268	909	780
269	911	776
270	914	772
271	917	769
272	920	765
273	922	761
274	928	759
275	931	756
276	935	752
277	940	750
278	946	749
279	948	745
280	950	740
281	953	736
282	955	732
283	957	728
284	959	724
285	962	719
286	964	715
287	965	711
288	968	706
289	970	702
290	982	705
291	986	702
292	989	699
293	994	696
294	997	692
295	999	689
296	1002	685
297	1004	680
298	1006	676
299	1008	672
300	1011	668
301	1013	664
302	1015	660
303	1017	656
304	1020	652
305	1025	650
306	1030	647
307	1035	645
308	1039	642
309	1043	639
310	1046	635
311	1047	631
312	1050	627
313	1052	623
314	1054	619
315	1057	615
316	1059	611
317	1062	608
318	1065	604
319	1067	600
320	1070	597
321	1073	593
322	1076	590
323	1080	587
324	1084	584
325	1087	580
326	1092	577
327	1094	574
328	1097	570
329	1100	566
330	1102	562
331	1104	558
332	1106	554
333	1108	550
334	1110	546
335	1112	543
336	1114	539
337	1117	535
338	1126	535
339	1132	532
340	1136	530
341	1141	527
342	1143	523
343	1146	519
344	1148	516
345	1151	512
346	1153	508
347	1155	504
348	1157	500
349	1158	496
350	1161	493
351	1163	489
352	1165	485
353	1181	487
354	1185	484
355	1191	481
356	1193	478
357	1196	474
358	1198	470
359	1201	467
360	1204	463
361	1207	460
362	1209	456
363	1211	452
364	1214	449
365	1215	445
366	1221	442
367	1225	439
